study_accession	secondary_study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	scientific_name	instrument_model	library_layout	fastq_ftp	fastq_galaxy	submitted_ftp	submitted_galaxy	col_tax_id	col_scientific_name	reference_alignment
PRJEB2870	ERP001198	SAMEA1324512	ERS092950	ERX110630	ERR134612	Staphylococcus aureus	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134612/ERR134612_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134612/ERR134612_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134612/ERR134612_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134612/ERR134612_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA135/ERA135592/bam/7738_3#1.bam	ftp.sra.ebi.ac.uk/vol1/ERA135/ERA135592/bam/7738_3#1.bam	6302616	Staphylococcus aureus	N
PRJEB2870	ERP001198	SAMEA1324520	ERS092951	ERX110631	ERR134613	Staphylococcus aureus	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134613/ERR134613_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134613/ERR134613_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134613/ERR134613_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134613/ERR134613_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA135/ERA135592/bam/7738_3#2.bam	ftp.sra.ebi.ac.uk/vol1/ERA135/ERA135592/bam/7738_3#2.bam	6302616	Staphylococcus aureus	N
PRJEB2870	ERP001198	SAMEA1324532	ERS092952	ERX110632	ERR134614	Staphylococcus aureus	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134614/ERR134614_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134614/ERR134614_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134614/ERR134614_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134614/ERR134614_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA135/ERA135592/bam/7738_3#3.bam	ftp.sra.ebi.ac.uk/vol1/ERA135/ERA135592/bam/7738_3#3.bam	6302616	Staphylococcus aureus	N
PRJEB2870	ERP001198	SAMEA1324556	ERS092953	ERX110633	ERR134615	Staphylococcus aureus	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134615/ERR134615_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134615/ERR134615_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134615/ERR134615_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134615/ERR134615_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA135/ERA135592/bam/7738_3#4.bam	ftp.sra.ebi.ac.uk/vol1/ERA135/ERA135592/bam/7738_3#4.bam	6302616	Staphylococcus aureus	N
PRJEB2870	ERP001198	SAMEA1324561	ERS092954	ERX110634	ERR134616	Staphylococcus aureus	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134616/ERR134616_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134616/ERR134616_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134616/ERR134616_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134616/ERR134616_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA135/ERA135592/bam/7738_3#5.bam	ftp.sra.ebi.ac.uk/vol1/ERA135/ERA135592/bam/7738_3#5.bam	6302616	Staphylococcus aureus	N
PRJEB2870	ERP001198	SAMEA1324735	ERS092955	ERX110635	ERR134617	Staphylococcus aureus	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134617/ERR134617_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134617/ERR134617_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134617/ERR134617_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134617/ERR134617_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA135/ERA135592/bam/7738_3#6.bam	ftp.sra.ebi.ac.uk/vol1/ERA135/ERA135592/bam/7738_3#6.bam	6302616	Staphylococcus aureus	N
PRJEB2870	ERP001198	SAMEA1324716	ERS092956	ERX110636	ERR134618	Staphylococcus aureus	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134618/ERR134618_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134618/ERR134618_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134618/ERR134618_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134618/ERR134618_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA135/ERA135592/bam/7738_3#7.bam	ftp.sra.ebi.ac.uk/vol1/ERA135/ERA135592/bam/7738_3#7.bam	6302616	Staphylococcus aureus	N
PRJEB2870	ERP001198	SAMEA1324713	ERS092957	ERX110637	ERR134619	Staphylococcus aureus	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134619/ERR134619_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134619/ERR134619_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134619/ERR134619_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134619/ERR134619_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA135/ERA135592/bam/7738_3#8.bam	ftp.sra.ebi.ac.uk/vol1/ERA135/ERA135592/bam/7738_3#8.bam	6302616	Staphylococcus aureus	N
PRJEB2870	ERP001198	SAMEA1324760	ERS092958	ERX110638	ERR134620	Staphylococcus aureus	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134620/ERR134620_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134620/ERR134620_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134620/ERR134620_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134620/ERR134620_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA135/ERA135592/bam/7738_3#9.bam	ftp.sra.ebi.ac.uk/vol1/ERA135/ERA135592/bam/7738_3#9.bam	6302616	Staphylococcus aureus	N
PRJEB2870	ERP001198	SAMEA1324743	ERS092959	ERX110639	ERR134621	Staphylococcus aureus	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134621/ERR134621_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134621/ERR134621_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134621/ERR134621_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134621/ERR134621_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA135/ERA135592/bam/7738_3#10.bam	ftp.sra.ebi.ac.uk/vol1/ERA135/ERA135592/bam/7738_3#10.bam	6302616	Staphylococcus aureus	N
